timestamp_ns,relative_time_s,event_id,event_type,segment_id,expected_state,expected_x_m,expected_y_m,expected_yaw_rad,measurement_tolerance,source,notes
1000000000,0.0,E000,SESSION_START,,STATIONARY,0.0,0.0,0.0,0.02,MANUAL_MEASUREMENT,Example only
1100000000,0.1,E001,SYNC_MARKER,,UNKNOWN,,,,0.05,MANUAL_SYNC,Initial synchronization marker
2000000000,1.0,E002,SEGMENT_START,S00,STATIONARY,0.0,0.0,0.0,0.02,FLOOR_MARKER,Stationary segment
2100000000,1.1,E003,STATIONARY_START,S00,STATIONARY,0.0,0.0,0.0,0.02,FLOOR_MARKER,Stationary begins
62000000000,61.0,E004,STATIONARY_END,S00,STATIONARY,0.0,0.0,0.0,0.02,FLOOR_MARKER,Stationary ends
62100000000,61.1,E005,SEGMENT_END,S00,STATIONARY,0.0,0.0,0.0,0.02,FLOOR_MARKER,Stationary segment complete
63000000000,62.0,E006,SEGMENT_START,S01,TRANSLATING,0.0,0.0,0.0,0.02,MEASURED_ROUTE,One metre translation
73000000000,72.0,E007,SEGMENT_END,S01,STATIONARY,1.0,0.0,0.0,0.02,MEASURED_ROUTE,Measured stop point
73100000000,72.1,E008,SYNC_MARKER,,UNKNOWN,,,,0.05,MANUAL_SYNC,Final synchronization marker
74000000000,73.0,E009,SESSION_END,,STATIONARY,1.0,0.0,0.0,0.02,MANUAL_MEASUREMENT,Example complete
